joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint1_deg,joint2_deg,joint3_deg,joint4_deg,joint5_deg,joint6_deg
-0.23394281800511194,-1.5116083888061416,-1.6921487519834528,-1.508553376287367,1.5708153031307681,1.3368109839645115,-13.403936119090039,-86.6087809551623,-96.95298179698133,-86.43374163147689,90.00108726395607,76.59362738789727
-0.2573197655944262,-1.4824425729936368,-1.7189424750760052,-1.510937351185864,1.570844745473495,1.3134770133472373,-14.74333655385627,-84.93770280304986,-98.4881490476268,-86.57033333162589,90.00277418593329,75.2566893522452
-0.2826275658837061,-1.4544456799731695,-1.7441711954185246,-1.5136274468396858,1.5708696507094584,1.2880771946496905,-16.193366699191973,-83.33359899349782,-99.933648245769,-86.72446445907637,90.00420115084177,73.8013869404783
-0.30864858778422827,-1.427415453077781,-1.766487671545614,-1.5184830870856647,1.5707956789787525,1.2621442611768756,-17.684261432709377,-81.78488107311104,-101.21228814145569,-87.00267215200483,89.99996288286904,72.31553930209246
-0.3371309818724952,-1.4024250164319059,-1.7880008629033382,-1.5217830551129736,1.5708063284569305,1.233571225512905,-19.316182404395438,-80.35303452511333,-102.4449032101106,-87.19174639249775,90.00057305302266,70.67842495067016
-0.36648813265316266,-1.3784586552070008,-1.8061044827297696,-1.527841070967438,1.5707985754457627,1.2043046605837686,-20.998223242656874,-78.9798631766403,-103.48216422007448,-87.53884513318188,90.00012883820423,69.00157429938506
-0.3981610835114898,-1.3567789360976852,-1.8233395906387553,-1.5321129941396492,1.570899184874626,1.1726258116832355,-22.812949651564278,-77.73770677064738,-104.46966316271191,-87.78360830135372,90.00589333385732,67.18650995755186
-0.4315332878504254,-1.3367706497404261,-1.8382223952812566,-1.5372472138312707,1.5709056289140966,1.139225568515558,-24.72503611323346,-76.59131640708725,-105.32238505604494,-88.0777774207766,90.006262550122,65.27281698933326
-0.46625542160082956,-1.3180082068336771,-1.8513352438812838,-1.5430407541922853,1.5707885140461453,1.1045353954437274,-26.71446783282037,-75.51630761517536,-106.07369593822052,-88.40972283190143,89.99955236247015,63.285216481739
-0.5031597089934766,-1.3013233104064468,-1.8634861575986539,-1.5475640622217863,1.5706776990693934,1.0675767900239843,-28.8289277463569,-74.56033346828217,-106.76989201145345,-88.66888929142948,89.99320313199543,61.16764437449839
-0.5421628327301191,-1.28792423513594,-1.872419504466903,-1.5520804235990007,1.5706903308780271,1.0285696355059488,-31.063642124293036,-73.792623005904,-107.28173508393053,-88.92765773709975,89.99392688131776,58.93269904980029
-0.5828060346022562,-1.2766417595110333,-1.8800015449287018,-1.5557863835473158,1.5706930857871717,0.9879345504801235,-33.3923260574647,-73.14618477013764,-107.71615400248902,-89.13999360118274,89.99408472598469,56.60448017766525
-0.6250026188616852,-1.2679704855253873,-1.8856291958234779,-1.558822102728067,1.5707410465879046,0.945731950068251,-35.81001224539814,-72.64935736775853,-108.03859464733272,-89.3139274980267,89.99683267744875,54.186449289587884
-0.668799766322028,-1.2615664804415616,-1.889804750320224,-1.5610509564010888,1.5707208088210836,0.9019570419895885,-38.319403949587894,-72.282434904475,-108.27783629712314,-89.44163140664307,89.99567313882314,51.678331808107394
-0.7137505180648377,-1.2583667424151284,-1.891863632245972,-1.5621768703018701,1.5707875578709187,0.8570457767763202,-40.89489231039122,-72.09910342001285,-108.39580154198428,-89.50614152125296,89.9994975776652,49.10510585879441
