x,y,z,qx,qy,qz,qw
0.17445,-0.26278,0.04,0.0,0.0,0.0,1.0
0.16750000000000004,-0.26028,0.04,0.0,0.0,0.0,1.0
0.16250000000000003,-0.26028,0.04,0.0,0.0,0.0,1.0
0.15750000000000003,-0.26528,0.04,0.0,0.0,0.0,1.0
0.15250000000000002,-0.27028,0.04,0.0,0.0,0.0,1.0
0.14750000000000002,-0.27028,0.04,0.0,0.0,0.0,1.0
0.14250000000000013,-0.27528,0.04,0.0,0.0,0.0,1.0
0.13750000000000012,-0.27528,0.04,0.0,0.0,0.0,1.0
0.13250000000000012,-0.27528,0.04,0.0,0.0,0.0,1.0
0.1275000000000001,-0.27528,0.04,0.0,0.0,0.0,1.0
0.12250000000000011,-0.27528,0.04,0.0,0.0,0.0,1.0
0.1175000000000001,-0.27528,0.04,0.0,0.0,0.0,1.0
0.1125000000000001,-0.28028000000000003,0.04,0.0,0.0,0.0,1.0
0.1075000000000001,-0.28528,0.04,0.0,0.0,0.0,1.0
0.10250000000000009,-0.29028,0.04,0.0,0.0,0.0,1.0
0.09750000000000009,-0.29528,0.04,0.0,0.0,0.0,1.0
0.09250000000000008,-0.30028,0.04,0.0,0.0,0.0,1.0
0.08750000000000008,-0.30528,0.04,0.0,0.0,0.0,1.0
0.08250000000000007,-0.31028,0.04,0.0,0.0,0.0,1.0
0.07750000000000007,-0.31528,0.04,0.0,0.0,0.0,1.0
0.07250000000000006,-0.32028,0.04,0.0,0.0,0.0,1.0
0.06750000000000006,-0.32028,0.04,0.0,0.0,0.0,1.0
0.06250000000000006,-0.32028,0.04,0.0,0.0,0.0,1.0
0.05750000000000005,-0.32528,0.04,0.0,0.0,0.0,1.0
0.05250000000000005,-0.32528,0.04,0.0,0.0,0.0,1.0
0.04750000000000004,-0.32528,0.04,0.0,0.0,0.0,1.0
0.04250000000000004,-0.32528,0.04,0.0,0.0,0.0,1.0
0.03750000000000003,-0.32528,0.04,0.0,0.0,0.0,1.0
0.03250000000000003,-0.32528,0.04,0.0,0.0,0.0,1.0
0.02750000000000002,-0.32528,0.04,0.0,0.0,0.0,1.0
0.022500000000000017,-0.32528,0.04,0.0,0.0,0.0,1.0
0.017500000000000123,-0.32528,0.04,0.0,0.0,0.0,1.0
0.01250000000000012,-0.32528,0.04,0.0,0.0,0.0,1.0
0.007500000000000116,-0.32028,0.04,0.0,0.0,0.0,1.0
0.002500000000000111,-0.32028,0.04,0.0,0.0,0.0,1.0
-0.0024999999999998934,-0.31528,0.04,0.0,0.0,0.0,1.0
-0.007499999999999897,-0.31528,0.04,0.0,0.0,0.0,1.0
-0.012499999999999902,-0.31028,0.04,0.0,0.0,0.0,1.0
-0.017499999999999908,-0.30528,0.04,0.0,0.0,0.0,1.0
-0.022499999999999912,-0.30028,0.04,0.0,0.0,0.0,1.0
-0.027499999999999917,-0.29528,0.04,0.0,0.0,0.0,1.0
-0.03249999999999992,-0.29028,0.04,0.0,0.0,0.0,1.0
-0.03749999999999992,-0.28528,0.04,0.0,0.0,0.0,1.0
-0.04249999999999993,-0.28028000000000003,0.04,0.0,0.0,0.0,1.0
-0.04749999999999993,-0.27528,0.04,0.0,0.0,0.0,1.0
-0.052499999999999936,-0.27028,0.04,0.0,0.0,0.0,1.0
-0.05749999999999994,-0.26528,0.04,0.0,0.0,0.0,1.0
-0.062499999999999944,-0.26028,0.04,0.0,0.0,0.0,1.0
-0.06749999999999995,-0.25528,0.04,0.0,0.0,0.0,1.0
-0.07249999999999995,-0.25028,0.04,0.0,0.0,0.0,1.0
-0.07749999999999996,-0.24528,0.04,0.0,0.0,0.0,1.0
-0.08249999999999996,-0.24028,0.04,0.0,0.0,0.0,1.0
-0.08749999999999997,-0.23528,0.04,0.0,0.0,0.0,1.0
