x,y,z,qx,qy,qz,qw
0.25,-0.175,0.03,0,0,0,1
0.0955714285714286,-0.231363253335224-0.05,0.03,0,0,0,1
0.0673187535627319,-0.234506289190051-0.05,0.03,0,0,0,1
-0.2,-0.2,0.03,0,0,0,1
